director_name,,duration,gross,title_year,budget,imdb_score,movie_facebook_likes,profit,profit_to_imdb_ratio
Martin Scorsese,mean,189.0,122417566.0,2012.0,90000000.0,8.0,95500.0,32417566.0,3989472.0
Martin Scorsese,std,72.0,7850072.0,2.0,14142136.0,0.0,60104.0,21992207.0,2733044.0
Martin Scorsese,min,138.0,116866727.0,2010.0,80000000.0,8.0,53000.0,16866727.0,2056918.0
Martin Scorsese,25%,164.0,119642146.0,2011.0,85000000.0,8.0,74250.0,24642146.0,3023195.0
Martin Scorsese,50%,189.0,122417566.0,2012.0,90000000.0,8.0,95500.0,32417566.0,3989472.0
Martin Scorsese,75%,214.0,125192986.0,2012.0,95000000.0,8.0,116750.0,40192986.0,4955748.0
Martin Scorsese,max,240.0,127968405.0,2013.0,100000000.0,8.0,138000.0,47968405.0,5922025.0
Michael Bay,count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Michael Bay,mean,154.0,216869778.0,2014.0,151666667.0,6.0,48667.0,65203111.0,10524818.0
Michael Bay,std,11.0,151796551.0,3.0,88364774.0,1.0,6429.0,81457250.0,12851882.0
Michael Bay,min,144.0,52822418.0,2011.0,50000000.0,6.0,44000.0,2822418.0,381408.0
Michael Bay,25%,149.0,149125278.0,2012.0,122500000.0,6.0,45000.0,19125278.0,3298435.0
Michael Bay,50%,154.0,245428137.0,2014.0,195000000.0,6.0,46000.0,35428137.0,6215463.0
Michael Bay,75%,160.0,298893458.0,2015.0,202500000.0,7.0,51000.0,96393458.0,15596523.0
Michael Bay,max,165.0,352358779.0,2016.0,210000000.0,7.0,56000.0,157358779.0,24977584.0
Michael Patrick King,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Michael Patrick King,mean,146.0,95328937.0,2010.0,100000000.0,4.0,0.0,-4671063.0,-1086294.0
Michael Patrick King,min,146.0,95328937.0,2010.0,100000000.0,4.0,0.0,-4671063.0,-1086294.0
Michael Patrick King,25%,146.0,95328937.0,2010.0,100000000.0,4.0,0.0,-4671063.0,-1086294.0
Michael Patrick King,50%,146.0,95328937.0,2010.0,100000000.0,4.0,0.0,-4671063.0,-1086294.0
Michael Patrick King,75%,146.0,95328937.0,2010.0,100000000.0,4.0,0.0,-4671063.0,-1086294.0
Michael Patrick King,max,146.0,95328937.0,2010.0,100000000.0,4.0,0.0,-4671063.0,-1086294.0
Mike Leigh,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mike Leigh,mean,150.0,3958500.0,2014.0,0.0,7.0,0.0,3958500.0,582132.0
Mike Leigh,min,150.0,3958500.0,2014.0,0.0,7.0,0.0,3958500.0,582132.0
Mike Leigh,25%,150.0,3958500.0,2014.0,0.0,7.0,0.0,3958500.0,582132.0
Mike Leigh,50%,150.0,3958500.0,2014.0,0.0,7.0,0.0,3958500.0,582132.0
Mike Leigh,75%,150.0,3958500.0,2014.0,0.0,7.0,0.0,3958500.0,582132.0
Mike Leigh,max,150.0,3958500.0,2014.0,0.0,7.0,0.0,3958500.0,582132.0
Nan,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nan,mean,151.0,228430993.0,2015.0,108000000.0,8.0,153000.0,120430993.0,14868024.0
Nan,min,151.0,228430993.0,2015.0,108000000.0,8.0,153000.0,120430993.0,14868024.0
Nan,25%,151.0,228430993.0,2015.0,108000000.0,8.0,153000.0,120430993.0,14868024.0
Nan,50%,151.0,228430993.0,2015.0,108000000.0,8.0,153000.0,120430993.0,14868024.0
Nan,75%,151.0,228430993.0,2015.0,108000000.0,8.0,153000.0,120430993.0,14868024.0
Nan,max,151.0,228430993.0,2015.0,108000000.0,8.0,153000.0,120430993.0,14868024.0
Null,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
